date,type,locale,locale_name,description,transferred,year,month,day,dayofweek,weekofyear,is_weekend,quarter,is_month_start,is_month_end,season
2016-01-01,Holiday,National,Ecuador,Primer dia del ano,0,2016,1,1,4,53,0,1,1,0,0
2016-02-08,Holiday,National,Ecuador,Carnaval,0,2016,2,8,0,6,0,1,0,0,0
2016-02-09,Holiday,National,Ecuador,Carnaval,0,2016,2,9,1,6,0,1,0,0,0
2016-03-02,Holiday,Local,Manta,Fundacion de Manta,0,2016,3,2,2,9,0,1,0,0,1
2016-03-25,Holiday,National,Ecuador,Viernes Santo,0,2016,3,25,4,12,0,1,0,0,1
2016-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,0,2016,4,1,4,13,0,2,1,0,1
2016-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca,0,2016,4,12,1,15,0,2,0,0,1
2016-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad,0,2016,4,14,3,15,0,2,0,0,1
2016-04-16,Event,National,Ecuador,Terremoto Manabi,0,2016,4,16,5,15,1,2,0,0,1
2016-04-17,Event,National,Ecuador,Terremoto Manabi+1,0,2016,4,17,6,15,1,2,0,0,1
2016-04-18,Event,National,Ecuador,Terremoto Manabi+2,0,2016,4,18,0,16,0,2,0,0,1
2016-04-19,Event,National,Ecuador,Terremoto Manabi+3,0,2016,4,19,1,16,0,2,0,0,1
2016-04-20,Event,National,Ecuador,Terremoto Manabi+4,0,2016,4,20,2,16,0,2,0,0,1
2016-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba,0,2016,4,21,3,16,0,2,0,0,1
2016-04-21,Event,National,Ecuador,Terremoto Manabi+5,0,2016,4,21,3,16,0,2,0,0,1
2016-04-22,Event,National,Ecuador,Terremoto Manabi+6,0,2016,4,22,4,16,0,2,0,0,1
2016-04-23,Event,National,Ecuador,Terremoto Manabi+7,0,2016,4,23,5,16,1,2,0,0,1
2016-04-24,Event,National,Ecuador,Terremoto Manabi+8,0,2016,4,24,6,16,1,2,0,0,1
2016-04-25,Event,National,Ecuador,Terremoto Manabi+9,0,2016,4,25,0,17,0,2,0,0,1
2016-04-26,Event,National,Ecuador,Terremoto Manabi+10,0,2016,4,26,1,17,0,2,0,0,1
2016-04-27,Event,National,Ecuador,Terremoto Manabi+11,0,2016,4,27,2,17,0,2,0,0,1
2016-04-28,Event,National,Ecuador,Terremoto Manabi+12,0,2016,4,28,3,17,0,2,0,0,1
2016-04-29,Event,National,Ecuador,Terremoto Manabi+13,0,2016,4,29,4,17,0,2,0,0,1
2016-04-30,Event,National,Ecuador,Terremoto Manabi+14,0,2016,4,30,5,17,1,2,0,1,1
2016-05-01,Holiday,National,Ecuador,Dia del Trabajo,0,2016,5,1,6,17,1,2,1,0,1
2016-05-01,Event,National,Ecuador,Terremoto Manabi+15,0,2016,5,1,6,17,1,2,1,0,1
2016-05-02,Event,National,Ecuador,Terremoto Manabi+16,0,2016,5,2,0,18,0,2,0,0,1
2016-05-03,Event,National,Ecuador,Terremoto Manabi+17,0,2016,5,3,1,18,0,2,0,0,1
2016-05-04,Event,National,Ecuador,Terremoto Manabi+18,0,2016,5,4,2,18,0,2,0,0,1
2016-05-05,Event,National,Ecuador,Terremoto Manabi+19,0,2016,5,5,3,18,0,2,0,0,1
2016-05-06,Event,National,Ecuador,Terremoto Manabi+20,0,2016,5,6,4,18,0,2,0,0,1
2016-05-07,Additional,National,Ecuador,Dia de la Madre-1,0,2016,5,7,5,18,1,2,0,0,1
2016-05-07,Event,National,Ecuador,Terremoto Manabi+21,0,2016,5,7,5,18,1,2,0,0,1
2016-05-08,Event,National,Ecuador,Terremoto Manabi+22,0,2016,5,8,6,18,1,2,0,0,1
2016-05-08,Event,National,Ecuador,Dia de la Madre,0,2016,5,8,6,18,1,2,0,0,1
2016-05-09,Event,National,Ecuador,Terremoto Manabi+23,0,2016,5,9,0,19,0,2,0,0,1
2016-05-10,Event,National,Ecuador,Terremoto Manabi+24,0,2016,5,10,1,19,0,2,0,0,1
2016-05-11,Event,National,Ecuador,Terremoto Manabi+25,0,2016,5,11,2,19,0,2,0,0,1
2016-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo,0,2016,5,12,3,19,0,2,0,0,1
2016-05-12,Event,National,Ecuador,Terremoto Manabi+26,0,2016,5,12,3,19,0,2,0,0,1
2016-05-13,Event,National,Ecuador,Terremoto Manabi+27,0,2016,5,13,4,19,0,2,0,0,1
2016-05-14,Event,National,Ecuador,Terremoto Manabi+28,0,2016,5,14,5,19,1,2,0,0,1
2016-05-15,Event,National,Ecuador,Terremoto Manabi+29,0,2016,5,15,6,19,1,2,0,0,1
2016-05-16,Event,National,Ecuador,Terremoto Manabi+30,0,2016,5,16,0,20,0,2,0,0,1
2016-05-24,Holiday,National,Ecuador,Batalla de Pichincha,1,2016,5,24,1,21,0,2,0,0,1
2016-05-27,Transfer,National,Ecuador,Traslado Batalla de Pichincha,0,2016,5,27,4,21,0,2,0,0,1
2016-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda,0,2016,6,23,3,25,0,2,0,0,2
2016-06-25,Holiday,Local,Machala,Fundacion de Machala,0,2016,6,25,5,25,1,2,0,0,2
2016-06-25,Holiday,Regional,Imbabura,Provincializacion de Imbabura,0,2016,6,25,5,25,1,2,0,0,2
2016-06-25,Holiday,Local,Latacunga,Cantonizacion de Latacunga,0,2016,6,25,5,25,1,2,0,0,2
2016-07-03,Holiday,Local,El Carmen,Cantonizacion de El Carmen,0,2016,7,3,6,26,1,3,0,0,2
2016-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,0,2016,7,3,6,26,1,3,0,0,2
2016-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe,0,2016,7,23,5,29,1,3,0,0,2
2016-07-24,Additional,Local,Guayaquil,Fundacion de Guayaquil-1,0,2016,7,24,6,29,1,3,0,0,2
