date,dcoilwtico,year,month,day,dayofweek,weekofyear,is_weekend,quarter,is_month_start,is_month_end,season
2016-01-01,36.81,2016,1,1,4,53,0,1,1,0,0
2016-01-04,36.81,2016,1,4,0,1,0,1,0,0,0
2016-01-05,35.97,2016,1,5,1,1,0,1,0,0,0
2016-01-06,33.97,2016,1,6,2,1,0,1,0,0,0
2016-01-07,33.29,2016,1,7,3,1,0,1,0,0,0
2016-01-08,33.2,2016,1,8,4,1,0,1,0,0,0
2016-01-11,31.42,2016,1,11,0,2,0,1,0,0,0
2016-01-12,30.42,2016,1,12,1,2,0,1,0,0,0
2016-01-13,30.42,2016,1,13,2,2,0,1,0,0,0
2016-01-14,31.22,2016,1,14,3,2,0,1,0,0,0
2016-01-15,29.45,2016,1,15,4,2,0,1,0,0,0
2016-01-18,29.45,2016,1,18,0,3,0,1,0,0,0
2016-01-19,28.47,2016,1,19,1,3,0,1,0,0,0
2016-01-20,26.68,2016,1,20,2,3,0,1,0,0,0
2016-01-21,29.55,2016,1,21,3,3,0,1,0,0,0
2016-01-22,32.07,2016,1,22,4,3,0,1,0,0,0
2016-01-25,30.31,2016,1,25,0,4,0,1,0,0,0
2016-01-26,29.54,2016,1,26,1,4,0,1,0,0,0
2016-01-27,32.32,2016,1,27,2,4,0,1,0,0,0
2016-01-28,33.21,2016,1,28,3,4,0,1,0,0,0
2016-01-29,33.66,2016,1,29,4,4,0,1,0,0,0
2016-02-01,31.62,2016,2,1,0,5,0,1,1,0,0
2016-02-02,29.9,2016,2,2,1,5,0,1,0,0,0
2016-02-03,32.29,2016,2,3,2,5,0,1,0,0,0
2016-02-04,31.63,2016,2,4,3,5,0,1,0,0,0
2016-02-05,30.86,2016,2,5,4,5,0,1,0,0,0
2016-02-08,29.71,2016,2,8,0,6,0,1,0,0,0
2016-02-09,27.96,2016,2,9,1,6,0,1,0,0,0
2016-02-10,27.54,2016,2,10,2,6,0,1,0,0,0
2016-02-11,26.19,2016,2,11,3,6,0,1,0,0,0
2016-02-12,29.32,2016,2,12,4,6,0,1,0,0,0
2016-02-15,29.32,2016,2,15,0,7,0,1,0,0,0
2016-02-16,29.05,2016,2,16,1,7,0,1,0,0,0
2016-02-17,30.68,2016,2,17,2,7,0,1,0,0,0
2016-02-18,30.77,2016,2,18,3,7,0,1,0,0,0
2016-02-19,29.59,2016,2,19,4,7,0,1,0,0,0
2016-02-22,31.37,2016,2,22,0,8,0,1,0,0,0
2016-02-23,31.84,2016,2,23,1,8,0,1,0,0,0
2016-02-24,30.35,2016,2,24,2,8,0,1,0,0,0
2016-02-25,31.4,2016,2,25,3,8,0,1,0,0,0
2016-02-26,31.65,2016,2,26,4,8,0,1,0,0,0
2016-02-29,32.74,2016,2,29,0,9,0,1,0,1,0
2016-03-01,34.39,2016,3,1,1,9,0,1,1,0,1
2016-03-02,34.57,2016,3,2,2,9,0,1,0,0,1
2016-03-03,34.56,2016,3,3,3,9,0,1,0,0,1
2016-03-04,35.91,2016,3,4,4,9,0,1,0,0,1
2016-03-07,37.9,2016,3,7,0,10,0,1,0,0,1
2016-03-08,36.67,2016,3,8,1,10,0,1,0,0,1
2016-03-09,37.62,2016,3,9,2,10,0,1,0,0,1
2016-03-10,37.77,2016,3,10,3,10,0,1,0,0,1
2016-03-11,38.51,2016,3,11,4,10,0,1,0,0,1
2016-03-14,37.2,2016,3,14,0,11,0,1,0,0,1
2016-03-15,36.32,2016,3,15,1,11,0,1,0,0,1
2016-03-16,38.43,2016,3,16,2,11,0,1,0,0,1
2016-03-17,40.17,2016,3,17,3,11,0,1,0,0,1
2016-03-18,39.47,2016,3,18,4,11,0,1,0,0,1
2016-03-21,39.91,2016,3,21,0,12,0,1,0,0,1
2016-03-22,41.45,2016,3,22,1,12,0,1,0,0,1
2016-03-23,38.28,2016,3,23,2,12,0,1,0,0,1
2016-03-24,38.14,2016,3,24,3,12,0,1,0,0,1
2016-03-25,38.14,2016,3,25,4,12,0,1,0,0,1
2016-03-28,37.99,2016,3,28,0,13,0,1,0,0,1
2016-03-29,36.91,2016,3,29,1,13,0,1,0,0,1
2016-03-30,36.91,2016,3,30,2,13,0,1,0,0,1
2016-03-31,36.94,2016,3,31,3,13,0,1,0,1,1
2016-04-01,35.36,2016,4,1,4,13,0,2,1,0,1
2016-04-04,34.3,2016,4,4,0,14,0,2,0,0,1
2016-04-05,34.52,2016,4,5,1,14,0,2,0,0,1
2016-04-06,37.74,2016,4,6,2,14,0,2,0,0,1
