date,store_nbr,transactions,year,month,day,dayofweek,weekofyear,is_weekend,quarter,is_month_start,is_month_end,season
2016-01-02,2,6,2016,1,2,5,53,1,1,0,0,0
2016-01-02,16,373,2016,1,2,5,53,1,1,0,0,0
2016-01-02,20,1816,2016,1,2,5,53,1,1,0,0,0
2016-01-02,21,1388,2016,1,2,5,53,1,1,0,0,0
2016-01-02,22,849,2016,1,2,5,53,1,1,0,0,0
2016-01-02,23,1092,2016,1,2,5,53,1,1,0,0,0
2016-01-02,24,1901,2016,1,2,5,53,1,1,0,0,0
2016-01-02,25,2582,2016,1,2,5,53,1,1,0,0,0
2016-01-02,26,654,2016,1,2,5,53,1,1,0,0,0
2016-01-02,27,1651,2016,1,2,5,53,1,1,0,0,0
2016-01-02,28,1265,2016,1,2,5,53,1,1,0,0,0
2016-01-02,29,1010,2016,1,2,5,53,1,1,0,0,0
2016-01-02,30,596,2016,1,2,5,53,1,1,0,0,0
2016-01-02,31,1859,2016,1,2,5,53,1,1,0,0,0
2016-01-02,32,663,2016,1,2,5,53,1,1,0,0,0
2016-01-02,33,1156,2016,1,2,5,53,1,1,0,0,0
2016-01-02,34,2364,2016,1,2,5,53,1,1,0,0,0
2016-01-02,35,1065,2016,1,2,5,53,1,1,0,0,0
2016-01-02,36,1576,2016,1,2,5,53,1,1,0,0,0
2016-01-02,37,1536,2016,1,2,5,53,1,1,0,0,0
2016-01-02,38,2358,2016,1,2,5,53,1,1,0,0,0
2016-01-02,39,1734,2016,1,2,5,53,1,1,0,0,0
2016-01-02,40,1323,2016,1,2,5,53,1,1,0,0,0
2016-01-02,41,1347,2016,1,2,5,53,1,1,0,0,0
2016-01-02,42,1351,2016,1,2,5,53,1,1,0,0,0
2016-01-02,43,1340,2016,1,2,5,53,1,1,0,0,0
2016-01-02,44,4539,2016,1,2,5,53,1,1,0,0,0
2016-01-02,45,4840,2016,1,2,5,53,1,1,0,0,0
2016-01-02,46,5256,2016,1,2,5,53,1,1,0,0,0
2016-01-02,47,4967,2016,1,2,5,53,1,1,0,0,0
2016-01-02,48,4574,2016,1,2,5,53,1,1,0,0,0
2016-01-02,49,3375,2016,1,2,5,53,1,1,0,0,0
2016-01-02,50,3669,2016,1,2,5,53,1,1,0,0,0
2016-01-02,51,1450,2016,1,2,5,53,1,1,0,0,0
2016-01-02,53,1099,2016,1,2,5,53,1,1,0,0,0
2016-01-02,54,1004,2016,1,2,5,53,1,1,0,0,0
2016-01-04,1,10,2016,1,4,0,1,0,1,0,0,0
2016-01-04,5,1485,2016,1,4,0,1,0,1,0,0,0
2016-01-04,23,1119,2016,1,4,0,1,0,1,0,0,0
2016-01-04,24,2491,2016,1,4,0,1,0,1,0,0,0
2016-01-04,25,938,2016,1,4,0,1,0,1,0,0,0
2016-01-04,26,660,2016,1,4,0,1,0,1,0,0,0
2016-01-04,30,599,2016,1,4,0,1,0,1,0,0,0
2016-01-04,31,1510,2016,1,4,0,1,0,1,0,0,0
2016-01-04,32,605,2016,1,4,0,1,0,1,0,0,0
2016-01-04,33,1122,2016,1,4,0,1,0,1,0,0,0
2016-01-04,34,2359,2016,1,4,0,1,0,1,0,0,0
2016-01-04,37,1655,2016,1,4,0,1,0,1,0,0,0
2016-01-04,38,1736,2016,1,4,0,1,0,1,0,0,0
2016-01-04,39,1540,2016,1,4,0,1,0,1,0,0,0
2016-01-05,1,1840,2016,1,5,1,1,0,1,0,0,0
2016-01-05,2,1903,2016,1,5,1,1,0,1,0,0,0
2016-01-05,3,3057,2016,1,5,1,1,0,1,0,0,0
2016-01-05,4,1464,2016,1,5,1,1,0,1,0,0,0
2016-01-05,5,1379,2016,1,5,1,1,0,1,0,0,0
2016-01-05,6,1824,2016,1,5,1,1,0,1,0,0,0
2016-01-05,7,1827,2016,1,5,1,1,0,1,0,0,0
2016-01-05,8,2838,2016,1,5,1,1,0,1,0,0,0
2016-01-05,9,2193,2016,1,5,1,1,0,1,0,0,0
2016-01-05,10,977,2016,1,5,1,1,0,1,0,0,0
2016-01-05,11,2395,2016,1,5,1,1,0,1,0,0,0
2016-01-05,12,1274,2016,1,5,1,1,0,1,0,0,0
